"EXPENSE ACCOUNT","Item No.","Description","Unit of Measure","PRICELIST"
"Office Supplies Expenses","317","Duplo Master Roll DRG20 (for Duplo DP-G325)","roll","6307"
"","","COMPUTER SUPPLIES (LEXMARK)","",""
"Office Supplies Expenses","318","Lexmark PC Kit Drum (MX510de)","unit","9972"
"Office Supplies Expenses","319","Lexmark Toner (MX510de)","pc","9977"
"","","COMPUTER SUPPLIES (SHARP)","",""
"Office Supplies Expenses","320","Sharp AR-6020N Toner","pc","3421"
"Office Supplies Expenses","321","Sharp Developer BP-FV20BA (BLACK)","pc","12320"
"Office Supplies Expenses","322","Sharp Developer BP-FV20SA","pc","50820"
"Office Supplies Expenses","323","Sharp MX-235FT Toner","pc","12045"
"Office Supplies Expenses","324","Sharp MX-315FT Toner","pc","13530"
"Office Supplies Expenses","325","Sharp Toner BP-FT20BA","pc","10945"
"Office Supplies Expenses","326","Sharp Toner BP-FT20CA","pc","10945"
"Office Supplies Expenses","327","Sharp Toner BP-FT20MA","pc","10945"
"Office Supplies Expenses","328","Sharp Toner BP-FT20YA","pc","10945"
"","","COMPUTER SUPPLIES (NEO BRAND)","",""
"Office Supplies Expenses","329","Ineo+ 287, developer / Imaging Unit 214, Cyan","unit","65476"
"Office Supplies Expenses","330","Ineo+ 287, developer / Imaging Unit 214, Magenta","unit","65476"
"Office Supplies Expenses","331","Ineo+ 287, developer / Imaging Unit 214, Yellow","unit","65476"
"Office Supplies Expenses","332","Ineo+ 287 Drum, DR214 Black","pc","29700"
"Office Supplies Expenses","333","Ineo 226 AOXX-PP6H-01 Transfer Roller","pc","6435"
"Office Supplies Expenses","334","Ineo 226 DV116 , Developer","pc","2200"
"Office Supplies Expenses","335","Toner TN227 K Black (Ineo+ 287i)","pc","11220"
"Office Supplies Expenses","336","Toner TN227 K Yellow (Ineo+ 287i)","pc","32670"
"Office Supplies Expenses","337","Toner TN227 K Magenta(Ineo+ 287i)","pc","32670"
"Office Supplies Expenses","338","Toner TN227 K Cyan(Ineo+ 287i)","pc","32670"
"Office Supplies Expenses","339","DR316 Drum Unit Black (Ineo+360i)","unit","49060"
"Office Supplies Expenses","340","DR316 Drum Unit Cyan (Ineo+360i)","unit","55935"
"Office Supplies Expenses","341","DR316 Drum Unit Magenta (Ineo+360i)","unit","55935"
"Office Supplies Expenses","342","DR316 Drum Unit Yellow (Ineo+360i)","unit","55935"
"Office Supplies Expenses","343","Toner ink for Riso CV/UA (S-7220UA)","pc","2970"
"Office Supplies Expenses","344","Ink Fill Type Blank (for Riso Duplicator Machine)","pc","2346"
"Office Supplies Expenses","345","Master Fill Type A4/Legal (for Riso Duplicator Machine)","pc","3988"
"Office Supplies Expenses","346","Master roll for Riso CVB4 UA (S-7040UA)","pc","6160"
"Office Supplies Expenses","347","Toner TN221 C Cyan (Ineo+ 287)","pc","25300"
"Office Supplies Expenses","348","Toner TN221 K Black (Ineo+ 287)","pc","13200"
"Office Supplies Expenses","349","Toner TN221 M Magenta ( Ineo+ 287)","pc","25300"
"Office Supplies Expenses","350","Toner TN221 Y Yellow ( Ineo+ 287)","pc","25300"
"Office Supplies Expenses","351","Toner TN228 Black (ineo+226i)","pc","12100"
"Office Supplies Expenses","352","Toner TN228 Cyan (ineo+226i)","pc","23100"
"Office Supplies Expenses","353","Toner TN228 Magenta (ineo+226i)","pc","23100"
"Office Supplies Expenses","354","Toner TN228 Yellow (ineo+226i)","pc","23100"
"Office Supplies Expenses","355","Transfer Belt Unit (ACM1PP66), Ineo+287i","pc","27840"
"Office Supplies Expenses","356","Transfer Roller Assy AOXX-PP6H-01, Ineo 225i","pc","5500"
"Office Supplies Expenses","357","Transfer Roller Unit (A161R714), Ineo+287i","pc","3836"
"","","ELECTRICAL SUPPLIES","",""
"Other Supplies and Materials Expenses","358","3 gang switch set Flush type","set","317"
"Other Supplies and Materials Expenses","359","ACU Foam insulation 1/2","pc","101"
"Other Supplies and Materials Expenses","360","ACU Foam insulation 1/4","pc","69"
"Other Supplies and Materials Expenses","361","ACU Foam insulation 5/8","pc","129"
"Other Supplies and Materials Expenses","362","1 Set 15 watts LED tube (daylight) Single end with holder","set","1364"
"Other Supplies and Materials Expenses","363","Aspirator Blower, Voltage: 220V-240V~50/60Hz, Input power:400W, Max blowing rate:3.0m3/min","unit","2843"
"Other Supplies and Materials Expenses","364","Blow Torch with butane","set","954"
"Other Supplies and Materials Expenses","365","Cable tracer","unit","7823"
"Other Supplies and Materials Expenses","366","Circuit Breaker 20amp, bolt on, single phase KSB","pc","1122"
"Other Supplies and Materials Expenses","367","Circuit Breaker 30amp, bolt on, single phase KSB","pc","1210"
"Other Supplies and Materials Expenses","368","Copper Tube 1/2 15 meters 0.028","roll","4951"
"Other Supplies and Materials Expenses","369","Copper Tube 1/4 15 meters 0.028","roll","4931"
"Other Supplies and Materials Expenses","370","Copper Tube 3/4 15 meters 0.028","roll","5362"
"Other Supplies and Materials Expenses","371","Copper Tube 3/8 15 meters 0.028","roll","4253"
"Other Supplies and Materials Expenses","372","Copper Tube 5/8 15 meters 0.028","roll","5272"
"Other Supplies and Materials Expenses","373","Door Closer","pc","2039"
"Other Supplies and Materials Expenses","374","Electrical Tape big, 40ft","roll","72"
"Other Supplies and Materials Expenses","375","Electronic Balast 220V 1x36W","pcs","230"
"Other Supplies and Materials Expenses","376","Emergency Light Rechargeable, LED, twin-head","unit","2662"
"Other Supplies and Materials Expenses","377","ESL/CFL, 18watts, daylight","pc","320"
"Other Supplies and Materials Expenses","378","ESL/CFL, 25watts, daylight","pc","368"
"Other Supplies and Materials Expenses","379","EWD40 anti-rust lubricant","tin","393"
"Other Supplies and Materials Expenses","380","LED Bulb day light, 18 watts","pc","303"
"Other Supplies and Materials Expenses","381","LED Bulb, day light, 15watts","pc","475"
"Other Supplies and Materials Expenses","382","LED Bulb, warmwhite, 12watts","pc","360"
"Other Supplies and Materials Expenses","383","LED Bulb, warmwhite, 15watts","pc","475"
"Other Supplies and Materials Expenses","384","LED T5, 14w daylight (Lites Plus)","set","523"
"Other Supplies and Materials Expenses","385","LED T5, 8w daylight (Lites Plus)","set","414"
"Other Supplies and Materials Expenses","386","Male plug rubber","pc","89"
"Other Supplies and Materials Expenses","387","Office Extension Cord, 5 mtrs, 5 gang, with switch","pc","1101"
"Other Supplies and Materials Expenses","388","Pin Light Square AC100 - 265w 9w DLLP .0316 IN-7050","set","1162"
"Other Supplies and Materials Expenses","389","Polyethylene Tape","roll","190"
"Other Supplies and Materials Expenses","390","Pump pliers, Size:10""/250mm, Max clamping open:40mm, TPR two color handle (Yellow and Black)","piece","742"
"Other Supplies and Materials Expenses","391","Refrigerant 32 3kg (Freon)","btl","3241"
"Other Supplies and Materials Expenses","392","Refrigerant 410A 11.3kg (Freon)","btl","9797"
"Other Supplies and Materials Expenses","393","All Purpose Oil","btl","81"
"Other Supplies and Materials Expenses","394","Square Recessed Slim Downlight, LED, Daylight 12W","pc","439"
"Other Supplies and Materials Expenses","395","Square Recessed Slim Downlight, LED, Daylight 18W","pc","657"
"Other Supplies and Materials Expenses","396","Staple Wire #1","box","47"
"Other Supplies and Materials Expenses","397","Super glue big","pc","211"
"Other Supplies and Materials Expenses","398","THHN Wire #12/7, 150 meters","roll","5436"
"Other Supplies and Materials Expenses","399","THHN Wire #14/7, 150 meters","roll","16117"
"Other Supplies and Materials Expenses","400","Tite Foam insulating Foam sealant","can","1535"
"","","ELECTRICAL TOOLS","",""
"Other Supplies and Materials Expenses","401","Allen Wrench, 13 pcs, Ball point Long Arm Allen Hex Key Set","set","875"
"Other Supplies and Materials Expenses","402","Diagonal Cutter pliers, 7"", Heavy Duty","pc","1349"
"Other Supplies and Materials Expenses","403","Drill bit set (Masonry)","set","1335"
"Other Supplies and Materials Expenses","404","Electric Blower, 400 watts Heavy Duty","unit","3128"
"Other Supplies and Materials Expenses","405","Electrical Gloves","pc","3711"
"Other Supplies and Materials Expenses","406","Electrical Harness","pc","4912"
"Other Supplies and Materials Expenses","407","Electrical Plier, 6""","pc","523"
"Other Supplies and Materials Expenses","408","Long Nose Plier, Heavy Duty, 7""","pc","957"
"Other Supplies and Materials Expenses","409","Multi Funtional Portable 9 pocket tools (Holster)","pc","1062"
"Other Supplies and Materials Expenses","410","Pliers, Line man, Heavy Duty, 10""","pc","4371"
"Other Supplies and Materials Expenses","411","Screw Driver","set","736"
"","","ELECTRICAL  EQUIPMENT","",""
"Other Supplies and Materials Expenses","412","Drum Type Extension, 50 mtrs, Heavy Duty Extension Wire","unit","5300"
"Other Supplies and Materials Expenses","413","Hammer drill, cordless, Heavy Duty, Rechargeable","unit","4014"
"Other Supplies and Materials Expenses","414","Hammer drill, with cordl, Heavy Duty,","unit","3988"
"Other Supplies and Materials Expenses","415","Industrial Rotary hammer, 1500 watts, Heavy Duty","unit","11110"
"Other Supplies and Materials Expenses","416","Ladder, A-Type, 7ft","unit","12788"
"Other Supplies and Materials Expenses","417","Ladder, Extendable (Fiber Glass), 24ft","unit","30913"
"Other Supplies and Materials Expenses","418","Mop Gas with Torch","unit","2584"
"Other Supplies and Materials Expenses","419","Pressure Tank - 81 liters","unit","13749"
"Other Supplies and Materials Expenses","420","Safety Boots, Heavy Duty,10"", High-cut","pair","2513"
"Other Supplies and Materials Expenses","421","Safety Boots, Heavy Duty,11"", High-cut","pair","2773"
"","","FUEL, OIL AND LUBRICANTS","",""
"Fuel, Oil, and Lubricants Expenses","422","2T Oil, 1000 ml","btl","239"
"Fuel, Oil, and Lubricants Expenses","423","2T Oil, 200 ml","btl","62"
"Fuel, Oil, and Lubricants Expenses","424","ATF Oil","liter","271"
"Fuel, Oil, and Lubricants Expenses","425","Diesel","liter","70"
"Fuel, Oil, and Lubricants Expenses","426","Gasoline","liter","80"
"Fuel, Oil, and Lubricants Expenses","427","Engine oil #30, gasoline","liter","381"
"Fuel, Oil, and Lubricants Expenses","428","Engine oil SAE #40, diesel","liter","381"
"Fuel, Oil, and Lubricants Expenses","429","Engine oil, diesel, fully synthetic, 1L","btl","1106"
"Fuel, Oil, and Lubricants Expenses","430","Engine oil, gasoline, fully synthetic, 1L","btl","1106"
"Fuel, Oil, and Lubricants Expenses","431","Gear Oil","liter","293"
"Fuel, Oil, and Lubricants Expenses","432","Lubricant Oil (WD-40) 382ml","can","382"
"","","JANITORIAL SUPPLIES","",""
"Office Equipment","433","Floor Polisher","unit","55439"
"Other Supplies and Materials Expenses","434","2 wheels mobile recycling garbage waste bin (black), 240L","pc","7150"
"Other Supplies and Materials Expenses","435","2 wheels mobile recycling garbage waste bin (blue), 240L","pc","7150"
"Other Supplies and Materials Expenses","436","2 wheels mobile recycling garbage waste bin (green), 240L","pc","7150"
"Other Supplies and Materials Expenses","437","2 wheels mobile recycling garbage waste bin (red), 240L","pc","7150"
"Other Supplies and Materials Expenses","438","2 wheels mobile recycling garbage waste bin (yellow), 240L","pc","7150"
"Other Supplies and Materials Expenses","439","3 arm Rotating Garden Sprinkler Automatic 360 degree","pc","1084"
"Other Supplies and Materials Expenses","440","Air freshener, automatic spray refill 175g/269ml - Glade","tin","416"
"Other Supplies and Materials Expenses","441","Air freshener, automatic spray, 269ml/175g - Glade","set","569"
"Other Supplies and Materials Expenses","442","Air freshener, scented gel, 180g","pc","404"
"Other Supplies and Materials Expenses","443","Air freshener, spray, 320ml","tin","341"
"Other Supplies and Materials Expenses","444","Alcohol, ISOPROPYL, 68%-70%, 1gal","gal","820"
"Other Supplies and Materials Expenses","445","Alcohol, ISOPROPYL, 68%-70%, 500ml","btl","127"
"Other Supplies and Materials Expenses","446","All-purpose car polisher and protector, liquid, 295 ml","btl","395"
"Other Supplies and Materials Expenses","447","All-purpose car protector, wax, 180ml","pc","519"
"Other Supplies and Materials Expenses","448","Anti Bacterial skin cleanser(6botls/box)","bx","5968"
"Other Supplies and Materials Expenses","449","Bath soap, 135g","pc","75"
"Other Supplies and Materials Expenses","450","Bathroom deodorizing cake w/ cover, 50g","pc","61"
"Other Supplies and Materials Expenses","451","Bleach, Chlorox, 500ml","btl","32"
"Other Supplies and Materials Expenses","452","Bleach, Chlorox, gal","btl","199"
"Other Supplies and Materials Expenses","453","Broom, ceiling *","pc","152"
"Other Supplies and Materials Expenses","454","Broom, soft (tambo)*","pc","220"
"Other Supplies and Materials Expenses","455","Broom, stick (tingting) *","pc","83"
"Other Supplies and Materials Expenses","456","Car freshener, cake, 40g","can","347"
"Other Supplies and Materials Expenses","457","Car freshener, liquid, 7ml","pc","404"
"Other Supplies and Materials Expenses","458","Chamois cloth, 1pc/tube orig","tube","1073"
"Other Supplies and Materials Expenses","459","Chlorine, liquid, 18L (1gal)","btl","831"
"Other Supplies and Materials Expenses","460","Cleaning cloth, (pranela)","pc","51"
"Other Supplies and Materials Expenses","461","Detergent bar (Blue) - 380g","pc","53"
"Other Supplies and Materials Expenses","462","Detergent bar (White) - 380g","pc","44"
"Other Supplies and Materials Expenses","463","Detergent liquid, 1L","btl","219"
"Other Supplies and Materials Expenses","464","Detergent powder, 1000g","pack","196"
"Other Supplies and Materials Expenses","465","Detergent powder, 500g","pack","110"
"Other Supplies and Materials Expenses","466","Dishwashing liquid, 250ml, lemon","btl","156"
"Other Supplies and Materials Expenses","467","Dishwashing paste, 200g, lemon","pc","34"
"Other Supplies and Materials Expenses","468","Disinfectant spray, 510g","tin","693"
"Other Supplies and Materials Expenses","469","Disinfecting liquid, 1L","btl","249"
"Other Supplies and Materials Expenses","470","Disinfecting liquid, 500ml","btl","164"
"Other Supplies and Materials Expenses","471","Disinfecting liquid, gal","btl","4371"
"Other Supplies and Materials Expenses","472","Disposable Gloves - Medium size, 50's","box","314"
"Other Supplies and Materials Expenses","473","Door mat, cloth, plain color","pc","55"
"Other Supplies and Materials Expenses","474","Door mat, Industrial (spag matting) meter, black","meter","1513"
"Other Supplies and Materials Expenses","475","Drum with Cover (PVC) Per 50 Gallons","pc","1595"
"Other Supplies and Materials Expenses","476","Dust pan, non-rigid plastic","pc","85"
"Other Supplies and Materials Expenses","477","Duster w/ handle, feather","pc","297"
"Other Supplies and Materials Expenses","478","Dusting rugs","pc","9"
"Other Supplies and Materials Expenses","479","Dusting rugs, micro fiber cloth","pc","95"
"Other Supplies and Materials Expenses","480","Emulsion buffable wax (Hotel Professional Cleaning) Hi- Intensifive Product, 1000ml","btl","474"
"Other Supplies and Materials Expenses","481","Emulsion buffable wax (Hotel Professional Cleaning) Hi- Intensifive Product, gal","gal","3960"
"Other Supplies and Materials Expenses","482","Fabric conditioner, 1000ml","btl","355"
"Other Supplies and Materials Expenses","483","Fabric conditioner, gal","btl","1172"
"Other Supplies and Materials Expenses","484","Facial tissue, 250 pulls","bx","120"
"Other Supplies and Materials Expenses","485","Floor Mop, cotton w/ handle","pc","451"
"Other Supplies and Materials Expenses","486","Floor mop, screw-type steel handle, with mop head cloth #40","pc","220"
"Other Supplies and Materials Expenses","487","Floor mop, snap type, with mop head cloth","pc","446"
"Other Supplies and Materials Expenses","488","Floor polisher brush 16"", HD","pc","1320"
"Other Supplies and Materials Expenses","489","Floor sign (caution wet floor)","pc","633"
"Other Supplies and Materials Expenses","490","Floor wax, liquid, natural, 500ml","btl","541"
"Other Supplies and Materials Expenses","491","Floor wax, paste, natural/ colorless, 2kg/ 2litres","can","1727"
"Other Supplies and Materials Expenses","492","Furniture polish, 330ml","can","462"
"Other Supplies and Materials Expenses","493","Garbage bag Small, green, 100's, green","pack","303"
"Other Supplies and Materials Expenses","494","Garbage bag XL, green, 100's, green","pack","743"
"Other Supplies and Materials Expenses","495","Garbage bag, large (100pcs/pack) 13x13x32, black","pack","605"
"Other Supplies and Materials Expenses","496","Garbage bag, medium (100pcs/pack) 11x11x24, black","pack","300"
"Other Supplies and Materials Expenses","497","Garbage bag, small (100pcs/pack) 9x9x18, black","pack","262"
"Other Supplies and Materials Expenses","498","Garbage bag, small (100pcs/pack) 9x9x18, clear","pack","263"
"Other Supplies and Materials Expenses","499","Garbage bag, small (100pcs/pack) 9x9x18, yellow","pack","297"
"Other Supplies and Materials Expenses","500","Garbage bag, XL (100pcs/pack) 15x15x37, black","pack","682"
"Other Supplies and Materials Expenses","501","Garbage bag, XL (100pcs/pack) 15x15x37, clear","pack","1089"
"Other Supplies and Materials Expenses","502","Garbage Bag, XL (100pcs/pack), 15x15x37, yellow","pack","1089"
"Other Supplies and Materials Expenses","503","Garbage bag, XXL(100pcs/pack), 18.5x18.5x40, black","pack","1348"
"Other Supplies and Materials Expenses","504","Glass cleaner (1gal)","gal","495"
"Other Supplies and Materials Expenses","505","Glass cleaner spray, 500ml","btl","187"
"Other Supplies and Materials Expenses","506","Glass mop w/ wiper","pc","259"
"Other Supplies and Materials Expenses","507","Heavy duty flashlight (Rechargeable 15 cadmium search light), big","unit","1650"
"Other Supplies and Materials Expenses","508","Heavy duty flashlight (rechargeable 15 cadmium search light), small","unit","902"
"Other Supplies and Materials Expenses","509","In-tank automatic bowl cleaner, 40gms","pc","212"
"Other Supplies and Materials Expenses","510","Insect spray, 500ml","tin","561"
"Other Supplies and Materials Expenses","511","Laundry gloves, arm-length, large","pair","418"
"Other Supplies and Materials Expenses","512","Laundry gloves, arm-length, medium","pair","414"
"Other Supplies and Materials Expenses","513","Laundry gloves, arm-length, small","pair","402"
"Other Supplies and Materials Expenses","514","Laundry gloves, large","pair","396"
"Other Supplies and Materials Expenses","515","Laundry gloves, medium","pair","358"
"Other Supplies and Materials Expenses","516","Laundry gloves, small","pair","317"
"Other Supplies and Materials Expenses","517","Liquid hand sanitizer, liquid, 1L with pump","bottle","330"
"Other Supplies and Materials Expenses","518","Lubricant (WD-40) 382ml","pc","330"
"Other Supplies and Materials Expenses","519","Magic mop (Easy Squeeze Mop)","pc","539"
"Other Supplies and Materials Expenses","520","Magic mop, Head (Easy Squeeze Mop Refill)","pc","314"
"Other Supplies and Materials Expenses","521","Mop head, 100% rayon, 400g (Mop Head cloth#40)","pc","424"
"Other Supplies and Materials Expenses","522","Mop squeezer, heavy duty","pc","1936"
"Other Supplies and Materials Expenses","523","Plastic dipper (tabo)","pc","47"
"Other Supplies and Materials Expenses","524","Plastic drum (big blue), 120L, with lid","pc","2530"
"Other Supplies and Materials Expenses","525","Plastic pail 16L (with cover)","pc","292"
"Other Supplies and Materials Expenses","526","Plastic pail 24L (with cover)","pc","396"
"Other Supplies and Materials Expenses","527","Plastic Tube Welding Tool w/ Heating Sockets","set","16198"
"Other Supplies and Materials Expenses","528","Plastic twine, 1kg","roll","116"
"Other Supplies and Materials Expenses","529","Protective goggles","pc","116"
"Other Supplies and Materials Expenses","530","Push brush w/ long wooden handle, heavy duty","pc","275"
"Other Supplies and Materials Expenses","531","Rags, all cotton (Stopa)","kilo","129"
"Other Supplies and Materials Expenses","532","Rain coat, jacket & pants, 2XL","pair","1089"
"Other Supplies and Materials Expenses","533","Rain coat, jacket & pants, 3XL","pair","1073"
"Other Supplies and Materials Expenses","534","Rain coat, jacket & pants, L","pair","979"
"Other Supplies and Materials Expenses","535","Rain coat, jacket & pants, M","pair","979"
"Other Supplies and Materials Expenses","536","Rain coat, jacket & pants, S","pair","880"
"Other Supplies and Materials Expenses","537","Rain coat, jacket & pants, XL","pair","1089"
"Other Supplies and Materials Expenses","538","Rain coat, poncho, 2XL","pc","849"
"Other Supplies and Materials Expenses","539","Rain coat, poncho, 3XL","pc","869"
"Other Supplies and Materials Expenses","540","Rain coat, poncho, L","pc","787"
"Other Supplies and Materials Expenses","541","Rain coat, poncho, M","pc","805"
"Other Supplies and Materials Expenses","542","Rain coat, poncho, XL","pc","814"
"Other Supplies and Materials Expenses","543","Rubber boots, L, 10""","pair","798"
"Other Supplies and Materials Expenses","544","Rubber boots, M, 8""","pair","715"
"Other Supplies and Materials Expenses","545","Rubber boots, S, 6""","pair","605"
"Other Supplies and Materials Expenses","546","Rubber boots, XL, 12""","pair","825"
"Other Supplies and Materials Expenses","547","Rugby, 350ml","btl","160"
"Other Supplies and Materials Expenses","548","scratch remover","pc","440"
"Other Supplies and Materials Expenses","549","Scrubbing brush plastic","pc","72"
"Other Supplies and Materials Expenses","550","Scrubbing pad, 3""x6""","pc","69"
"Other Supplies and Materials Expenses","551","Sink clog remover, 250ml","btl","97"
"Other Supplies and Materials Expenses","552","Spin mop w/ bucket","unit","2750"
"Other Supplies and Materials Expenses","553","Sponge 3""x6"", heavy duty","pc","63"
"Other Supplies and Materials Expenses","554","Sprayer, plastic bottle, transparent, 500ml","pc","66"
"Other Supplies and Materials Expenses","555","Steel wool, scrubber","pc","80"
"Other Supplies and Materials Expenses","556","Tire Black, 8.2 oz","bot","438"
"Other Supplies and Materials Expenses","557","Tissue paper, 2ply, soft","roll","22"
"Other Supplies and Materials Expenses","558","Tissue paper, 2ply, soft, 12 rolls/pack","pack","275"
"Other Supplies and Materials Expenses","559","Tissue, Interfolded paper towel, 16 packs/box","bx","3795"
"Other Supplies and Materials Expenses","560","Tissue, jumbo roll, 12 rolls/box","bx","4414"
"Other Supplies and Materials Expenses","561","Tissue, slim, roll, hand towel, 6 rolls/box","bx","3960"
"Other Supplies and Materials Expenses","562","Toilet Bowl Cleaner, 1000ml","btl","407"
"Other Supplies and Materials Expenses","563","Toilet bowl cleaner, gal","gal","891"
"Other Supplies and Materials Expenses","564","Toilet brush, plastic bristle","pc","51"
"Other Supplies and Materials Expenses","565","Toilet rubber pump","pc","165"
"Other Supplies and Materials Expenses","566","Trash can/ bin, plastic w/ cover, M - 11L","pc","385"
"Other Supplies and Materials Expenses","567","Trash can/ bin, plastic w/ cover, S - 8L","pc","374"
"Other Supplies and Materials Expenses","568","Trash can/ bin, stainless, 30L","pc","4180"
"Other Supplies and Materials Expenses","569","Trashbin plastic with cover swing type 15 ltrs","pc","385"
"Other Supplies and Materials Expenses","570","Trashbin plastic with cover swing type 25 ltrs","pc","385"
"Other Supplies and Materials Expenses","571","Trashbin plastic with cover swing type 8 ltrs","pc","385"
"Other Supplies and Materials Expenses","572","Weighing scale, 20kg","unit","3603"
"Other Supplies and Materials Expenses","573","Wet wipes, 80 sheets/pack","pack","154"
"","","GARDENING SUPPLIES & TOOLS","",""
"Other Supplies and Materials Expenses","574","Garden Gloves, Large","pc","212"
"Other Supplies and Materials Expenses","575","Garden hose 1/2 diameter, 60m with fittings","rolls","2838"
"Other Supplies and Materials Expenses","576","Garden Hose, 1"" diameter, 60m with fittings","rolls","3190"
"Other Supplies and Materials Expenses","577","Garden Hose, 1/4 diameter, 60m, with fittings","rolls","1788"
"Other Supplies and Materials Expenses","578","Garden Rake, 14 teeth with metal handle","pc","545"
"Other Supplies and Materials Expenses","579","Garden Shade Net","pc","1210"
"Other Supplies and Materials Expenses","580","Gardening trowel, 32cm","pc","537"
"Other Supplies and Materials Expenses","581","Grass Cutter (Manual)","pc","413"
"Other Supplies and Materials Expenses","582","Grass Cutter, nylon","roll","542"
"Other Supplies and Materials Expenses","583","Heavy Duty Hand Truck Trolley Foldable Push Cart 150 kilograms Capacity Platform Type Trolley Foldable Platform Trolley For Lifting Heavy Weight Heavy Duty
Push Cart - 150 kg Capacity","pc","2750"
"Other Supplies and Materials Expenses","584","Japsaw, Heavy Duty","pc","600"
"Other Supplies and Materials Expenses","585","Jungle Bolo, Heavy Duty 17""","pc","861"
"Other Supplies and Materials Expenses","586","Karit (Ilocano: Kumpay) sickle","pc","380"
"Other Supplies and Materials Expenses","587","Loam Soil (10 kgs)","bag","214"
"Other Supplies and Materials Expenses","588","Long Arm Pruning Shears, manual","pc","1959"
"Other Supplies and Materials Expenses","589","Metal Pick Hoe Piko or Pick Mattock for Gardening 28
inches by 7 inches","pc","963"
"Other Supplies and Materials Expenses","590","Plastic Sprayer w/ Nozzle, Heavy Duty, 1.5 ltr.","pc","270"
"Other Supplies and Materials Expenses","591","Pots, Plastic, L","pc","198"
"Other Supplies and Materials Expenses","592","Pots, Plastic, M","pc","154"
"Other Supplies and Materials Expenses","593","Pots, Plastic, S","pc","99"
"Other Supplies and Materials Expenses","594","Pots, Plastic, XL","pc","242"
"Other Supplies and Materials Expenses","595","Prunning Shears, Heavy Duty","pc","660"
"Other Supplies and Materials Expenses","596","Safety Face Shields Head Mounted, heavy duty","pc","1409"
"Other Supplies and Materials Expenses","597","Seedling Bag, 3"" x 3"" x 6"", 100pcs/pack","pack","116"
"Other Supplies and Materials Expenses","598","Seedling Bag, 6"" x6"" x 10"", 100pcs/pack","pack","325"
"Other Supplies and Materials Expenses","599","Shovel, Heavy Duty","pc","715"
"Other Supplies and Materials Expenses","600","Spading Fork 4 teeth, Heavy duty","pc","1540"
"Other Supplies and Materials Expenses","601","Spading Fork, 78 X 120mm, garden tools","pc","605"
"Other Supplies and Materials Expenses","602","Straight Bar ( Bareta 5ft), Heavy Duty","pc","770"
"Other Supplies and Materials Expenses","603","Trolley, Heavy Duty, 75kg max. Load, Heavy Duty","pc","6600"
"Other Supplies and Materials Expenses","604","Wheelbarrow, Heavy Duty","pc","4510"
"","","PLUMBING SUPPLIES","",""
"Other Supplies and Materials Expenses","605","Faucet, Goose Neck, Retractable & Rotatable","pc","2052"
"Other Supplies and Materials Expenses","606","Faucet, Ordinary","pc","198"
"Other Supplies and Materials Expenses","607","Faucet, Stainless","pc","550"
"Other Supplies and Materials Expenses","608","Faucet, stainless delayed urinal valve push type","pc","3307"
"Other Supplies and Materials Expenses","609","Pressure Gauge","pc","341"
"Other Supplies and Materials Expenses","610","Pressure Switch","pc","352"
"Other Supplies and Materials Expenses","611","PVC Male Adapter, 3/4"" dia.","pc","28"
"Other Supplies and Materials Expenses","612","Rubber Flapper for water closet, 2""","pc","172"
"Other Supplies and Materials Expenses","613","Steel Lavatory Flexible Hose for Plumbing and Tap
Faucet Double Nuts Connector, 1/2 X 1/2 X 12""","pc","191"
"Other Supplies and Materials Expenses","614","Toilet Bidet Sprayer SUS 304 stainless Heavy Duty","set","525"
"Other Supplies and Materials Expenses","615","Toilet Tank Accessories Repair Kits 18cm Toilet Flush Outlet Valve Water Tank Fittings Toilet Replacement
Parts","pc","879"
"","","PLUMBING TOOLS","",""
"Other Supplies and Materials Expenses","616","Pipe Cutter, Heavy duty","pc","1208"
"Other Supplies and Materials Expenses","617","Pipe Wrench, 24"", Heavy duty","pc","5734"
"Other Supplies and Materials Expenses","618","Water Pump Plier, 8"", 10"", 12"", Heavy Duty","set","1286"
"","","OFFICE SUPPLIES","",""
"Office Supplies Expenses","619","AA battery, black, 2550mAh 1.2V, rechargeable, 4 pcs","pack","572"
"Office Supplies Expenses","620","AA battery, black, 2550mAh 1.2V, 4pcs/pack","pc","734"
"Office Supplies Expenses","621","Adding Machine Paper roll, 57mm","roll","51"
"Office Supplies Expenses","622","Adhesive Paste, 200g","btl","94"
"Office Supplies Expenses","623","Adhesive Tape, 1"" Double Sided w/ Foam, 10m","roll","311"
"Office Supplies Expenses","624","Adhesive Tape, 1"" Double Sided,10m","roll","40"
"Office Supplies Expenses","625","Adhesive Tape, 1/2"" Double Sided w/ Foam, 10m","roll","127"
"Office Supplies Expenses","626","Adhesive Tape, 1/2"" double sided, 10m","roll","25"
"Office Supplies Expenses","627","Ballpen, Erasable Gel Pen 0.5mm Ink, Ballpoint, Black","pc","124"
"Office Supplies Expenses","628","Ballpen, Erasable Gel Pen 0.5mm Ink, Ballpoint, Blue","pc","124"
"Office Supplies Expenses","629","Ballpen, Ordinary, Black","pc","11"
"Office Supplies Expenses","630","Ballpen, Ordinary, Blue","pc","11"
"Office Supplies Expenses","631","Ballpen, Ordinary, Red","pc","11"
"Office Supplies Expenses","632","Ballpen, Special, Black","pc","57"
"Office Supplies Expenses","633","Ballpen, Special, Blue","pc","57"
"Office Supplies Expenses","634","Ballpen, Special, Green","pc","48"
